,fecha,Reserva_Comercial_Empresa,0,1,2
0,2014-01-01,,,,
1,2014-02-01,,,,
2,2014-03-01,,,,
3,2014-04-01,,,,
4,2014-05-01,,,,
5,2014-06-01,,,,
6,2014-07-01,,,,
7,2014-08-01,,,,
8,2014-09-01,,,,
9,2014-10-01,,,,
10,2014-11-01,,,,
11,2014-12-01,,,,
12,2015-01-01,1.7482888390731002,,,
13,2015-02-01,1.73945285539852,,,
14,2015-03-01,1.66107646058022,,,
15,2015-04-01,1.7605740591767902,,,
16,2015-05-01,1.72088101670412,,,
17,2015-06-01,1.71436736485206,,,
18,2015-07-01,1.73621499407041,,,
19,2015-08-01,1.87471122110943,,,
20,2015-09-01,1.8975213325674098,,,
21,2015-10-01,1.8652950641297799,,,
22,2015-11-01,1.7958356634644699,,,
23,2015-12-01,1.7694094173061499,,,
24,2016-01-01,1.79416407745318,,,
25,2016-02-01,1.81668953298055,,,
26,2016-03-01,1.6553362904487698,,,
27,2016-04-01,1.5581453514754702,,,
28,2016-05-01,1.48246157968729,,,
29,2016-06-01,1.71378264427522,,,
30,2016-07-01,1.7801522646810402,,,
31,2016-08-01,1.71158202278366,,,
32,2016-09-01,1.7655824778111202,,,
33,2016-10-01,1.7512861373706103,,,
34,2016-11-01,1.7263952166286,,,
35,2016-12-01,1.7016522500270301,,,
36,2017-01-01,1.7396188618534398,,,
37,2017-02-01,1.7383064852873,,,
38,2017-03-01,1.7453180068911898,,,
39,2017-04-01,1.7625039299802,,,
40,2017-05-01,1.85566686839479,,,
41,2017-06-01,1.8198987432679798,,,
42,2017-07-01,1.8219610184644601,,,
43,2017-08-01,1.8299062250900802,,,
44,2017-09-01,1.86146089236269,,,
45,2017-10-01,1.9652753197098898,,,
46,2017-11-01,1.9519897299440199,,,
47,2017-12-01,1.78301337851475,,,
48,2018-01-01,1.73689473246984,,,
49,2018-02-01,1.7934117693099099,,,
50,2018-03-01,,1.724077552365961,1.5990890632669654,1.8588354300288017
51,2018-04-01,,1.6565408016188292,1.5042207290896665,1.8242850762259213
52,2018-05-01,,1.594362293056918,1.4433089294548167,1.761224551199793
53,2018-06-01,,1.772713917767683,1.6026858691070274,1.9607801471402315
54,2018-07-01,,1.8331262114798617,1.6514833740695523,2.0347475245445548
55,2018-08-01,,1.786619209109148,1.6006518759422923,1.9941926450926033
56,2018-09-01,,1.8411650837029425,1.6413771766693928,2.0652711111320983
57,2018-10-01,,1.8506648981439189,1.643565001544434,2.0838607307916974
58,2018-11-01,,1.8285328948504265,1.6182853704250173,2.0660957632410373
59,2018-12-01,,1.7767514639398374,1.5667917185048237,2.014847109113461
60,2019-01-01,,1.801282754218101,1.5825716877309266,2.0502196430012254
61,2019-02-01,,1.8147855832106072,1.5887549754809416,2.072973343187854
62,2019-03-01,,1.808013978500343,1.5706985228064934,2.081185217269961
63,2019-04-01,,1.8093862636832665,1.5619694329461844,2.0959940586228414
64,2019-05-01,,1.8724143805500708,1.609620100887988,2.1781137117737077
65,2019-06-01,,1.8874058751541223,1.616508502703631,2.203700711507737
66,2019-07-01,,1.90488008951087,1.6247900252008933,2.233253589162264
67,2019-08-01,,1.903849050849741,1.6168579952614668,2.241780798959595
68,2019-09-01,,1.9445218501543913,1.6445072048121987,2.2992694800383453
69,2019-10-01,,2.034895519791762,1.71419395352203,2.4155958361425705
70,2019-11-01,,2.02168094128904,1.696603726518821,2.4090444718977797
71,2019-12-01,,1.8730586651958447,1.5659780479542091,2.240356285867825
72,2020-01-01,,1.842285547491936,1.534537791569675,2.2117513541494023
73,2020-02-01,,1.895124784037838,1.5728185082666128,2.283478944454065
74,2020-03-01,,1.837893754205115,1.4878520372321595,2.2702885550568377
75,2020-04-01,,1.783302934835475,1.4190435694435892,2.2410653385644608
76,2020-05-01,,1.7447547178859388,1.3786476064283721,2.2080834952970285
77,2020-06-01,,1.9034139998842925,1.496124770496941,2.421579353807597
78,2020-07-01,,1.961032418055682,1.5304588997285236,2.512741861507986
79,2020-08-01,,1.9238914903089936,1.488778546518401,2.4861712812420707
80,2020-09-01,,1.9816364125708863,1.5212818566078181,2.581298695287832
81,2020-10-01,,2.0113092996312156,1.5331931414139162,2.638522825018876
82,2020-11-01,,1.9922293157852935,1.508489586223113,2.6310938324815902
83,2020-12-01,,1.919364181509027,1.443561940686491,2.5519922335358176
84,2021-01-01,,,,
85,2021-02-01,,,,
86,2021-03-01,,,,
87,2021-04-01,,,,
88,2021-05-01,,,,
89,2021-06-01,,,,
90,2021-07-01,,,,
91,2021-08-01,,,,
92,2021-09-01,,,,
93,2021-10-01,,,,
94,2021-11-01,,,,
95,2021-12-01,,,,
